date,state,name,code,cases,deaths
2020-10-10,TO,Crixas Do Tocantins,170625,3,0
2020-05-17,TO,Wanderlandia,172208,0,0
2020-11-28,TO,Sitio Novo Do Tocantins,172080,1,5
2020-11-15,SP,Santa Mercedes,354710,0,1
2020-05-12,TO,Itapora Do Tocantins,171110,0,0
2020-11-21,TO,Sao Sebastiao Do Tocantins,172030,0,1
2020-08-14,TO,Aurora Do Tocantins,170270,0,0
2020-06-01,TO,Lagoa Da Confusao,171190,2,0
2020-09-16,TO,Sao Bento Do Tocantins,172010,3,2
2020-05-31,SP,Santa Maria Da Serra,354700,0,0
2020-09-29,TO,Jau Do Tocantins,171150,0,2
2020-10-22,SP,Santa Salete,354765,0,1
2020-11-19,TO,Combinado,170555,0,4
2020-08-11,TO,Araguacu,170200,4,4
2020-10-17,SP,Mairinque,352840,2,20
2020-10-26,TO,Tocantinopolis,172120,0,21
2020-08-06,TO,Pium,171750,0,0
2020-05-18,TO,Maurilandia Do Tocantins,171280,0,0
2020-12-02,TO,Lagoa Do Tocantins,171195,0,4
2020-08-30,TO,Santa Tereza Do Tocantins,171900,0,1
2020-10-27,TO,Santa Terezinha Do Tocantins,172000,0,2
2020-08-08,SP,Taboao Da Serra,355280,170,210
2020-12-02,SP,Rubineia,354450,0,2
2020-06-16,TO,Babaculandia,170300,0,0
2020-11-11,TO,Sitio Novo Do Tocantins,172080,0,5
2020-11-08,SP,Serra Negra,355160,0,1
2020-10-23,SP,Igaracu Do Tiete,352000,4,13
2020-08-21,TO,Novo Alegre,171515,0,1
2020-06-15,TO,Santa Terezinha Do Tocantins,172000,0,0
2020-05-12,TO,Presidente Kennedy,171840,0,0
2020-06-19,TO,Sao Valerio,172049,0,0
2020-04-17,TO,Palmeirante,171570,0,0
2020-06-13,TO,Parana,171620,0,0
2020-08-30,SP,Vinhedo,355670,1,28
2020-07-29,TO,Sampaio,171880,1,3
2020-09-04,TO,Peixe,171660,1,3
2020-09-05,TO,Praia Norte,171830,9,2
2020-07-21,SP,Salto De Pirapora,354530,2,8
2020-06-30,TO,Santa Terezinha Do Tocantins,172000,2,0
2020-05-28,TO,Santa Tereza Do Tocantins,171900,0,0
2020-07-08,TO,Colinas Do Tocantins,170550,8,3
2020-05-18,SP,Trabiju,355475,0,0
2020-04-27,SE,Carira,280140,0,0
2020-07-31,TO,Pugmil,171845,0,0
2020-09-26,TO,Sao Miguel Do Tocantins,172020,0,7
2020-03-30,SP,Tiete,355450,0,0
2020-05-06,SP,Vinhedo,355670,2,2
2020-06-30,TO,Novo Alegre,171515,0,1
2020-11-27,TO,Pugmil,171845,0,0
2020-07-02,TO,Palmeiropolis,171575,0,0
2020-08-27,TO,Porto Nacional,171820,34,29
2020-10-21,SP,Tejupa,355420,0,0
2020-09-19,TO,Novo Alegre,171515,0,1
2020-11-02,TO,Taguatinga,172090,0,3
2020-11-17,SP,Uchoa,355560,3,9
2020-04-21,SP,Presidente Prudente,354140,2,2
2020-11-22,SP,Santo Antonio Da Alegria,354790,0,3
2020-04-23,SP,Vitoria Brasil,355695,0,0
2020-05-18,TO,Itaguatins,171070,0,0
2020-06-06,TO,Taipas Do Tocantins,172093,0,0
2020-08-24,TO,Duere,170730,6,1
2020-06-08,SP,Zacarias,355715,0,0
2020-08-16,TO,Esperantina,170740,0,5
2020-11-15,TO,Caseara,170390,0,3
2020-04-12,TO,Esperantina,170740,0,0
2020-04-12,TO,Presidente Kennedy,171840,0,0
2020-08-10,SP,Palmital,353530,0,1
2020-08-14,SP,Nova Campina,353282,0,0
2020-06-21,TO,Lagoa Do Tocantins,171195,0,0
2020-04-04,TO,Sao Salvador Do Tocantins,172025,0,0
2020-07-01,TO,Ponte Alta Do Bom Jesus,171780,0,0
2020-05-25,TO,Xambioa,172210,1,2
2020-10-10,SP,Varzea Paulista,355650,0,71
2020-10-23,TO,Pau D'Arco,171630,0,6
2020-07-26,SP,Redencao Da Serra,354230,0,0
2020-05-05,SP,Teodoro Sampaio,355430,0,0
2020-05-12,TO,Itapiratins,171090,0,0
2020-10-04,TO,Novo Acordo,171510,0,0
2020-09-15,SP,Tambau,355330,0,8
2020-11-16,TO,Praia Norte,171830,0,2
2020-11-03,TO,Piraque,171720,0,1
2020-05-02,SP,Sao Paulo,355030,407,1661
2020-07-29,SP,Osvaldo Cruz,353460,1,2
2020-10-03,TO,Carrasco Bonito,170389,3,0
2020-05-19,TO,Santa Terezinha Do Tocantins,172000,0,0
2020-05-13,SP,Sao Jose Da Bela Vista,354950,0,0
2020-11-12,TO,Guarai,170930,13,24
2020-07-05,TO,Luzinopolis,171245,0,0
2020-09-20,TO,Tocantinia,172110,0,5
2020-04-14,SP,Ilha Solteira,352044,0,0
2020-06-09,TO,Pindorama Do Tocantins,171700,0,0
2020-09-26,TO,Araguacu,170200,7,7
2020-04-29,SP,Tupa,355500,0,1
2020-09-16,SP,Marilia,352900,49,42
2020-10-24,TO,Oliveira De Fatima,171550,0,1
2020-05-31,SP,Rubineia,354450,0,0
2020-07-04,SP,Sarapui,355110,0,0
2020-04-19,TO,Nazare,171430,0,0
2020-07-30,TO,Gurupi,170950,10,9
2020-10-14,SP,Rio Grande Da Serra,354410,1,26
2020-04-27,TO,Combinado,170555,0,0
2020-04-02,SP,Sao Joao De Iracema,354925,0,0
2020-06-21,TO,Tabocao,170825,0,0
2020-06-06,SP,Oleo,353380,0,0
2020-06-18,SP,Ribeirao Dos Indios,354323,0,0
2020-05-17,TO,Piraque,171720,0,0
2020-10-30,TO,Crixas Do Tocantins,170625,0,0
2020-10-05,SP,Pedranopolis,353690,0,1
2020-11-16,TO,Riachinho,171855,0,0
2020-09-28,TO,Peixe,171660,0,3
2020-10-15,SP,Santa Cruz Das Palmeiras,354630,1,20
2020-10-11,TO,Pugmil,171845,0,0
2020-04-19,SP,Nhandeara,353260,0,0
2020-11-16,SP,Porangaba,354050,0,0
2020-07-20,TO,Sao Miguel Do Tocantins,172020,0,6
2020-04-11,TO,Praia Norte,171830,0,0
2020-11-03,TO,Natividade,171420,0,1
2020-04-10,SP,Sarapui,355110,0,0
2020-10-06,TO,Guarai,170930,5,19
2020-11-27,SP,Potirendaba,354080,4,12
2020-10-17,TO,Dianopolis,170700,1,9
2020-04-09,TO,Barra Do Ouro,170307,0,0
2020-04-26,SP,Rubineia,354450,0,0
2020-10-27,TO,Ponte Alta Do Tocantins,171790,0,3
2020-08-17,TO,Ponte Alta Do Tocantins,171790,1,1
2020-04-22,TO,Rio Da Conceicao,171865,0,0
2020-08-01,SP,Sao Roque,355060,7,17
2020-04-19,TO,Formoso Do Araguaia,170820,0,0
2020-06-07,TO,Arapoema,170230,-1,0
2020-06-12,TO,Babaculandia,170300,0,0
2020-06-09,TO,Campos Lindos,170384,0,0
2020-08-17,SP,Salmourao,354510,0,0
2020-06-02,TO,Nazare,171430,0,0
2020-08-16,SP,Piquerobi,353830,0,0
2020-04-22,TO,Alianca Do Tocantins,170035,0,0
2020-07-05,SP,Sete Barras,355180,2,1
2020-06-04,SP,Sao Francisco,354900,1,0
2020-04-27,TO,Conceicao Do Tocantins,170560,0,0
2020-11-07,SP,Torrinha,355470,0,6
2020-09-23,TO,Ponte Alta Do Tocantins,171790,0,2
2020-09-16,SP,Porto Feliz,354060,4,13
2020-04-27,TO,Cachoeirinha,170382,0,0
2020-05-25,TO,Porto Alegre Do Tocantins,171800,0,0
2020-04-04,SP,Timburi,355460,0,0
2020-12-07,TO,Pindorama Do Tocantins,171700,0,0
2020-06-08,SP,Potirendaba,354080,1,1
2020-04-16,TO,Bom Jesus Do Tocantins,170330,0,0
2020-04-13,TO,Taguatinga,172090,0,0
2020-10-11,TO,Oliveira De Fatima,171550,0,1
2020-08-12,TO,Sao Valerio,172049,0,0
2020-10-27,TO,Rio Da Conceicao,171865,0,0
2020-04-22,TO,Pequizeiro,171665,0,0
2020-09-24,SP,Platina,353970,0,0
2020-10-03,TO,Rio Sono,171875,0,1
2020-11-11,TO,Colmeia,171670,1,8
2020-09-26,SP,Terra Roxa,355440,0,5
2020-10-25,TO,Santa Maria Do Tocantins,171888,0,0
2020-05-26,TO,Riachinho,171855,0,0
2020-11-18,SP,Sao Sebastiao,355070,7,42
2020-07-11,SP,Salesopolis,354500,1,6
2020-05-11,TO,Santa Maria Do Tocantins,171888,0,0
2020-08-08,SP,Indiana,352060,1,0
2020-09-24,SP,Timburi,355460,0,1
2020-05-01,TO,Parana,171620,0,0
2020-11-03,TO,Goianorte,170830,0,2
2020-08-14,TO,Aguiarnopolis,170030,7,6
2020-10-09,TO,Silvanopolis,172065,4,6
2020-09-28,TO,Santa Tereza Do Tocantins,171900,0,1
